TableName,PipelineID,BronzeRowCount,DistinctRowBronzeCount,SilverRawRowCount,BronzeColumnCount,SilverRawColumnCount
MDM/Asset/C_XO_ASST_DESC_V2,2811001,9451514,4725754,4725754,19,19
MDM/Asset/C_XO_ASST_EQUIPMENT_V2,2811002,3534962,1767481,1767481,56,56
MDM/Asset/C_XO_ASST_EQUIP_MANFCTR_V2,2811003,3525920,1762939,1762939,19,19
MDM/Asset/C_XO_ASST_EQUIP_MFTR_OIL_V2,2811004,0,0,0,17,17
MDM/Asset/C_XR_ASST_EQUIP_REL_V2,2811005,3543367,1771683,1771683,18,18
MDM/Asset/C_XO_ASST_EQUIP_TAG_V2,2811006,3869476,1934738,1934738,20,20
MDM/Asset/C_XR_ASST_TAG_REL_V2,2811007,513329,513329,513329,18,18
MDM/Asset/C_XR_EQUIP_REL_V2,2811008,7974,7974,7974,18,18
MDM/Asset/C_XR_EQUIP_TAG_REL_V2,2811009,329883,329883,329883,18,18
MDM/Asset/C_XO_TAG_ALT_IDENTIFIER_V2,2811010,4741380,4741380,4741380,17,17
MDM/Asset/C_XR_TAG_REL_V2,2811011,689147,689147,689147,18,18
MDM/Asset/C_X_LND_ASST_ERR_MSTR_V2,2811012,2208,2208,2208,69,69
MDM/Asset/C_X_LND_ASST_ERR_extract_V2,2811013,57231,57231,57231,15,15
MDM/Asset/C_XO_ASST_V2,2811014,961989,961984,961984,52,52
MDM/Asset/C_XR_ASST_REL_V2,2811015,961776,961771,961771,18,18
MDM/MaterialMaster/C_XO_MATERIAL_CLASSIF_V2,2811101,1773578,886789,886789,19,19
MDM/MaterialMaster/C_XO_MATERIAL_PLANT_V2,2811102,4792667,2395423,2395423,54,54
MDM/MaterialMaster/C_XO_MATERIAL_PRODUCT_V2,2811103,3281180,1640590,1640590,29,29
MDM/MaterialMaster/C_XO_MATERIAL_VALUATION_V2,2811104,5511252,2755176,2755176,29,29
MDM/MaterialMaster/C_XO_MATERIAL_TAX_V2,2811105,996530,498265,498265,22,22
MDM/MaterialMaster/C_XO_MATERIAL_PLANT_MRP_V2,2811106,5714806,2857403,2857403,21,21
MDM/MaterialMaster/C_XO_MATERIAL_PLANT_INSP_V2,2811107,931327,465664,465664,18,18
MDM/MaterialMaster/C_XO_MATERIAL_V2,2811108,1501892,750946,750946,47,47
MDM/MaterialMaster/C_XO_MATERIAL_MANUFCTR_V2,2811109,935270,467636,467636,18,18
MDM/MaterialMaster/C_XO_MATERIAL_PROPERTY_V2,2811110,3556118,1778067,1778067,20,20
MDM/MaterialMaster/C_XO_STORAGE_LOCATION_V2,2811111,8874,4441,4441,21,21
MDM/MaterialMaster/C_XO_MATERIAL_DESC_V2,2811112,2331670,1165835,1165835,17,17
MDM/BusinessPartner-CI/C_BO_PRTY_BP_CI_V2,2811201,243876,162579,162579,12,12
MDM/BusinessPartner/C_BO_PRTY_RLE_ALT_NM_BP_V2,2811202,33687,33684,33684,19,19
MDM/BusinessPartner-CI/C_BO_PRTY_RLE_ALT_ID_BP_CI_V2,2811203,93858,31286,31286,21,21
MDM/BusinessPartner/C_BO_PRTY_RLE_ETRNC_ADDR_BP_V2,2811204,38569,38568,38568,30,30
MDM/BusinessPartner/C_BO_PRTY_RLE_PHN_COMM_BP_V2,2811205,6218,6218,6218,35,35
MDM/BusinessPartner/C_BO_PRTY_RLE_COMM_PREF_V2,2811206,0,0,0,20,20
MDM/BusinessPartner/C_BR_PRTY_REL_BP_V2,2811207,372663,311651,311651,26,26
MDM/BusinessPartner/C_BO_PSTL_ADDR_BP_V2,2811208,816542,816532,816532,46,46
MDM/BusinessPartner/C_BR_PRTY_RLE_PSTL_ADDR_BP_V2,2811209,64432,64429,64429,28,28
MDM/BusinessPartner/C_XO_PRTY_ACCNT_BP_V2,2811210,84927,84912,84912,23,23
MDM/BusinessPartner-CI/C_XO_PRTY_SALES_ORG_CI_V2,2811211,106488,70987,70987,3,3
MDM/BusinessPartner-CI/C_XO_PRTY_BNK_CI_V2,2811212,47272,31512,31512,3,3
MDM/BusinessPartner-CI/C_XO_PRTY_CMPNY_CD_CI_V2,2811213,211587,141050,141050,3,3
MDM/BusinessPartner/C_XO_PRTY_PRTNR_FUNC_V2,2811214,52544,26270,26270,18,18
MDM/BusinessPartner/C_XO_PRTY_ROLE_V2,2811215,544,272,272,16,16
MDM/BusinessPartner/C_BO_PRTY_RLE_STS_V2,2811216,10193,5095,5095,18,18
MDM/BusinessPartner/C_XO_BNK_DTLS_V2,2811217,143622,71811,71811,20,20
MDM/BusinessPartner-CI/C_BO_PRTY_RLE_TAX_CI_V2,2811218,47960,31972,31972,3,3
MDM/BusinessPartner/C_XO_PRTY_TAX_CATGORY_V2,2811219,7484,3742,3742,18,18
MDM/BusinessPartner/C_BT_ALT_ID_TYP_V2,2811220,42,21,21,17,17
MDM/BusinessPartner/C_BT_ALT_NM_TYP_V2,2811221,18,9,9,17,17
MDM/BusinessPartner/C_XT_CMPNY_CD_V2,2811222,206,103,103,17,17
MDM/BusinessPartner/C_BT_CNTRY_V2,2811223,500,250,250,17,17
MDM/BusinessPartner/C_BT_ETRNC_ADDR_TYP_V2,2811224,18,9,9,17,17
MDM/BusinessPartner/C_XT_PRTY_SUB_TYP_V2,2811225,10,5,5,17,17
MDM/BusinessPartner/C_BT_PHN_TYP_V2,2811226,32,16,16,17,17
MDM/BusinessPartner/C_LKP_ADDRS_TYPE_V2,2811227,0,0,0,17,17
MDM/BusinessPartner/C_BT_STATE_V2,2811228,9544,4772,4772,18,18
MDM/BusinessPartner/C_XT_LANG_V2,2811229,90,45,45,17,17
MDM/BusinessPartner/C_BT_CLASSIF_TYP_V2,2811230,58,29,29,17,17
MDM/BusinessPartner/C_XT_RECON_ACNT_V2,2811231,12,6,6,18,18
MDM/BusinessPartner/C_XT_INTRST_IND_V2,2811232,24,12,12,17,17
MDM/BusinessPartner/C_BT_COMM_TYP_V2,2811233,12,6,6,17,17
